"filename", "language", "Python", "JavaScript", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"d:\Dev\projects\core\lib\database\loadUser.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 11
"d:\Dev\projects\core\lib\database\upgrade.js", "JavaScript", 0, 22, 0, 0, 0, 0, 5, 27
"d:\Dev\projects\core\lib\enum\UUID_PREFIX.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 8
"d:\Dev\projects\core\lib\enum\biomes.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 17
"d:\Dev\projects\core\lib\enum\creatures.json", "JSON", 0, 0, 65, 0, 0, 0, 0, 65
"d:\Dev\projects\core\lib\enum\gameData.js", "JavaScript", 0, 12, 0, 0, 0, 0, 1, 13
"d:\Dev\projects\core\lib\enum\old\classes.js", "JavaScript", 0, 11, 0, 0, 0, 1, 0, 12
"d:\Dev\projects\core\lib\enum\player.js", "JavaScript", 0, 100, 0, 0, 0, 1, 3, 104
"d:\Dev\projects\core\lib\enum\reaction.js", "JavaScript", 0, 11, 0, 0, 0, 0, 1, 12
"d:\Dev\projects\core\lib\enum\readme.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 3
"d:\Dev\projects\core\lib\enum\universe.json", "JSON", 0, 0, 160, 0, 0, 0, 0, 160
"d:\Dev\projects\core\lib\functions\battle.廢棄.js", "JavaScript", 0, 114, 0, 0, 0, 14, 14, 142
"d:\Dev\projects\core\lib\functions\connectWeb.js", "JavaScript", 0, 10, 0, 0, 0, 1, 1, 12
"d:\Dev\projects\core\lib\functions\errorEmbed.js", "JavaScript", 0, 18, 0, 0, 0, 1, 0, 19
"d:\Dev\projects\core\lib\functions\findAreaByUUID.js", "JavaScript", 0, 12, 0, 0, 0, 2, 0, 14
"d:\Dev\projects\core\lib\functions\findObjByUUID.js", "JavaScript", 0, 12, 0, 0, 0, 0, 1, 13
"d:\Dev\projects\core\lib\functions\generate.js", "JavaScript", 0, 23, 0, 0, 0, 4, 4, 31
"d:\Dev\projects\core\lib\functions\getAreaByUUID.js", "JavaScript", 0, 17, 0, 0, 0, 2, 0, 19
"d:\Dev\projects\core\lib\functions\getShop.js", "JavaScript", 0, 11, 0, 0, 0, 1, 1, 13
"d:\Dev\projects\core\lib\functions\getUpgNeed.js", "JavaScript", 0, 6, 0, 0, 0, 1, 1, 8
"d:\Dev\projects\core\lib\functions\log.js", "JavaScript", 0, 13, 0, 0, 0, 1, 2, 16
"d:\Dev\projects\core\lib\functions\random.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 4
"d:\Dev\projects\core\lib\functions\roleSay.js", "JavaScript", 0, 15, 0, 0, 0, 0, 1, 16
"d:\Dev\projects\core\lib\functions\skill.js", "JavaScript", 0, 7, 0, 0, 0, 1, 1, 9
"d:\Dev\projects\core\lib\functions\wait.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 3
"d:\Dev\projects\core\lib\index.js", "JavaScript", 0, 43, 0, 0, 0, 2, 5, 50
"d:\Dev\projects\core\lib\models\Bank.js", "JavaScript", 0, 6, 0, 0, 0, 1, 3, 10
"d:\Dev\projects\core\lib\models\Item.js", "JavaScript", 0, 7, 0, 0, 0, 2, 4, 13
"d:\Dev\projects\core\lib\models\Title.js", "JavaScript", 0, 6, 0, 0, 0, 0, 3, 9
"d:\Dev\projects\core\lib\models\User.js", "JavaScript", 0, 42, 0, 0, 0, 12, 15, 69
"d:\Dev\projects\core\lib\music\music.js", "JavaScript", 0, 548, 0, 0, 0, 0, 40, 588
"d:\Dev\projects\core\lib\recorder\chrecorder.js", "JavaScript", 0, 153, 0, 0, 0, 0, 25, 178
"d:\Dev\projects\core\lib\recorder\recorder.js", "JavaScript", 0, 119, 0, 0, 0, 27, 29, 175
"d:\Dev\projects\core\lib\recorder\test.js", "JavaScript", 0, 10, 0, 0, 0, 0, 3, 13
"d:\Dev\projects\core\objects\index.js", "JavaScript", 0, 29, 0, 0, 0, 23, 10, 62
"d:\Dev\projects\core\objects\info.md", "Markdown", 0, 0, 0, 0, 30, 0, 3, 33
"d:\Dev\projects\core\objects\items\card.json", "JSON", 0, 0, 44, 0, 0, 0, 0, 44
"d:\Dev\projects\core\objects\items\guard.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"d:\Dev\projects\core\objects\items\increase.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"d:\Dev\projects\core\objects\items\material.json", "JSON", 0, 0, 44, 0, 0, 0, 0, 44
"d:\Dev\projects\core\objects\items\others.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 16
"d:\Dev\projects\core\objects\items\potion.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"d:\Dev\projects\core\objects\items\weapon.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"d:\Dev\projects\core\objects\use.js", "JavaScript", 0, 2, 0, 0, 0, 30, 1, 33
"d:\Dev\projects\core\old\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Dev\projects\core\old\ecosystem.config.js", "JavaScript", 0, 9, 0, 0, 0, 0, 1, 10
"d:\Dev\projects\core\old\note.md", "Markdown", 0, 0, 0, 0, 58, 0, 7, 65
"d:\Dev\projects\core\old\todo.md", "Markdown", 0, 0, 0, 0, 12, 0, 1, 13
"d:\Dev\projects\core\package-lock.json", "JSON", 0, 0, 10687, 0, 0, 0, 1, 10688
"d:\Dev\projects\core\package.json", "JSON", 0, 0, 43, 0, 0, 0, 1, 44
"d:\Dev\projects\core\plot\index.js", "JavaScript", 0, 28, 0, 0, 0, 0, 3, 31
"d:\Dev\projects\core\plot\role.js", "JavaScript", 0, 11, 0, 0, 0, 0, 1, 12
"d:\Dev\projects\core\public\html\download.html", "HTML", 0, 0, 0, 16, 0, 0, 5, 21
"d:\Dev\projects\core\public\html\webcam.html", "HTML", 0, 0, 0, 13, 0, 0, 3, 16
"d:\Dev\projects\core\public\js\download.js", "JavaScript", 0, 98, 0, 0, 0, 8, 32, 138
"d:\Dev\projects\core\public\js\webcam.js", "JavaScript", 0, 37, 0, 0, 0, 0, 10, 47
"d:\Dev\projects\core\public\old-js\WebAudioRecorder.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1, 2
"d:\Dev\projects\core\public\old-js\WebAudioRecorderMp3.min.js", "JavaScript", 0, 13, 0, 0, 0, 0, 1, 14
"d:\Dev\projects\core\public\old-js\WebAudioRecorderOgg.min.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 11
"d:\Dev\projects\core\public\old-js\WebAudioRecorderWav.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1, 2
"d:\Dev\projects\core\subsystem\ai-chat\AIManger.js", "JavaScript", 0, 107, 0, 0, 0, 34, 22, 163
"d:\Dev\projects\core\subsystem\ai-chat\beta.js", "JavaScript", 0, 97, 0, 0, 0, 1, 27, 125
"d:\Dev\projects\core\subsystem\ai-chat\config.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"d:\Dev\projects\core\subsystem\ai-chat\index.js", "JavaScript", 0, 219, 0, 0, 0, 3, 46, 268
"d:\Dev\projects\core\subsystem\ai-chat\tags.json", "JSON", 0, 0, 34, 0, 0, 0, 0, 34
"d:\Dev\projects\core\subsystem\ai-chat\test.js", "JavaScript", 0, 13, 0, 0, 0, 34, 6, 53
"d:\Dev\projects\core\subsystem\karirin\config.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 14
"d:\Dev\projects\core\subsystem\karirin\index.js", "JavaScript", 0, 104, 0, 0, 0, 0, 24, 128
"d:\Dev\projects\core\subsystem\karirin\package-lock.json", "JSON", 0, 0, 3636, 0, 0, 0, 1, 3637
"d:\Dev\projects\core\subsystem\karirin\package.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 17
"d:\Dev\projects\core\subsystem\pyTest\bot.py", "Python", 13, 0, 0, 0, 0, 0, 5, 18
"d:\Dev\projects\core\subsystem\roleGiver\index.js", "JavaScript", 0, 35, 0, 0, 0, 2, 12, 49
"Total", "-", 13, 5651, 131172, 29, 104, 557, 702, 138228
